Unnamed: 0,exp,job_id,ts,cabinet,node,device,uuid,warmup,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf_s,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
8,bert,43688,1652920484,c004,12,3,c004-12-3,FALSE,37.479385,161.455011,1,5.325567,85.56045604,0.30096473,0.242852821,242.852821,0.233653679,5.536378311,1488.853583,1530,1312,1530,877,877,877,877,58.20623377,59,45,68,163.7649179,188.7895,67.52,273.968
18,bert,43686,1652920484,c004,12,1,c004-12-1,FALSE,37.479278,161.458998,1,5.318568,85.56045604,0.300990958,0.242364736,242.364736,0.233099939,5.539046661,1478.840206,1530,750,1530,877,877,877,877,68.99793921,71,49,82,167.9123771,192.487,66.009,294.37
16,bert,43685,1652920484,c004,12,0,c004-12-0,FALSE,37.489045,161.459345,1,3.773545,85.56045604,0.301145139,0.242478015,242.478015,0.205012936,5.5351613,1518.459735,1530,1312,1530,877,877,877,877,53.99490056,55,42,63,158.7867547,162.671,65.031,278.523
23,bert,43687,1652920484,c004,12,2,c004-12-2,FALSE,37.479178,161.455521,1,5.306424,85.56045604,0.300941257,0.242365813,242.365813,0.231488355,5.530868105,1491.232877,1530,1312,1530,877,877,877,877,53.5213495,54,43,60,158.5517675,172.038,66.052,267.168
0,bert,45711,1652921475,c004,12,2,c004-12-2,FALSE,37.389452,177.254774,1,8.279218,96.78401895,0.336985026,0.247407966,247.407966,0.210853619,8.502123567,1521.786463,1530,1312,1530,877,877,877,877,52.90615977,53,43,59,156.6219398,150.7915,66.498,267.344
4,bert,45710,1652921475,c004,12,1,c004-12-1,FALSE,37.388602,177.258876,1,8.295425,96.78401895,0.344828032,0.247930927,247.930927,0.239987455,8.50705366,1495.93514,1530,682,1530,877,877,877,877,68.15039063,69,48,82,166.2300288,187.387,66.009,293.205
7,bert,45709,1652921475,c004,12,0,c004-12-0,FALSE,37.404589,177.254717,2,7.079671,96.78401895,0.345014126,0.248355286,248.355286,0.208616013,8.505918116,1512.726843,1530,1312,1530,877,877,877,877,53.25510689,53,42,62,154.962029,146.4,65.031,277.368
11,bert,45712,1652921475,c004,12,3,c004-12-3,FALSE,37.404999,177.255785,1,8.295671,96.78401895,0.344856001,0.247511775,247.511775,0.237519328,8.507607023,1499.257225,1530,1312,1530,877,877,877,877,57.4751704,58,45,67,161.491148,184.1615,67.52,278.157
0,bert,82345,1652842656,c004,3,2,c004-3-2,TRUE,33.036007,173.424171,1,8.146209,89.46147782,0.315576598,0.236505412,236.505412,0.225624618,8.390242262,1485.212537,1530,1312,1530,877,877,877,877,43.9049951,44,32,50,153.6670666,148.9375,64.584,281.996
5,bert,82343,1652842656,c004,3,0,c004-3-0,TRUE,33.053809,173.419495,1,2.688801,89.46147782,0.315595485,0.236524425,236.524425,0.216766299,8.395452896,1510.326284,1530,1312,1530,877,877,877,877,44.86498741,45,33,51,153.0819602,156.929,63.117,261.166
