exp,job_id,ts,cabinet,node,cab-node,uuid,device,kern_min_start,kern_max_start,num_kerns,kern_sum,train_time,mean_iter_dur,perf,min_iter_dur,max_iter_dur,mean_freq,freq,min_freq,max_freq,mean_memfreq,median_memfreq,min_memfreq,max_memfreq,mean_temp,temp,min_temp,max_temp,mean_pwr,pwr,min_pwr,max_pwr
resnet,18728,1646125291,c002,1,c002-1,c002-1-1,1,11.154928,218.306479,2133,72466.87241,198.230574,227.5166493,133.676438,95.90091393,3422.578137,1503.291646,1522,1312,1530,877,877,877,877,52.8234001,54,32,64,177.7166837,153.5685,65.031,318.238
resnet,64591,1646008824,c008,1,c008-1,c008-1-1,1,4.572598,219.928754,0,0,204.952497,246.758866,133.6608485,95.451927,3993.981912,1514.546266,1530,1312,1530,877,877,877,877,54.37027471,56,31,69,175.0521228,132.858,67.154,314.408
resnet,54013,1646009594,c006,1,c006-1,c006-1-0,0,4.905188,202.47156,0,0,187.36465,221.1097293,133.1177852,96.32496815,5220.158465,1513.183943,1530,1312,1530,877,877,877,877,46.43002286,48,30,53,162.4983368,145.233,59.783,287.865
resnet,54015,1646009594,c006,1,c006-1,c006-1-2,2,4.905087,202.463714,2433,58674.84198,187.36465,227.7044959,133.0695755,96.97377682,3316.950227,1507.607853,1530,1312,1530,877,877,877,877,45.4581846,47,29,52,167.2524495,149.128,61.8,296.802
resnet,113655,1646128804,c008,9,c008-9,c008-9-1,1,15.213024,210.991132,2474,77062.09971,186.39049,209.5092461,132.753232,96.19137878,3895.980684,1473.750256,1492,720,1530,877,877,877,877,67.89650841,70,41,80,186.9003318,173.135,71.51,330.052
resnet,33362,1646118733,c002,11,c002-11,c002-11-0,0,7.859964,217.951843,0,0,200.085781,244.2296842,132.7132625,96.01461608,3693.526984,1514.641969,1530,1312,1530,877,877,877,877,50.79976105,52,36,56,163.7519921,129.357,65.154,297.304
resnet,7538,1646126418,c006,12,c006-12,c006-12-0,0,4.778291,212.923613,0,0,197.686053,233.3771692,132.6122215,96.98098202,3827.406691,1515.475098,1530,1312,1530,877,877,877,877,59.35587015,61,40,68,173.2369224,143.865,64.584,309.582
resnet,148660,1646099087,c002,11,c002-11,c002-11-1,1,7.959684,209.278176,2734,74045.80541,189.325096,218.1038412,132.446398,97.73967229,3781.406037,1479.695608,1530,660,1530,877,877,877,877,65.02145046,67,39,76,176.2451323,170.474,66.089,307.078
resnet,65402,1646126372,c008,2,c008-2,c008-2-3,3,13.015554,208.14672,2001,68563.53228,185.089914,212.2805997,132.3956533,96.68844705,3369.772329,1511.320146,1530,1312,1530,877,877,877,877,56.08665287,58,30,72,178.1626137,174.962,62.627,312.696
resnet,25883,1646128651,c004,10,c004-10,c004-10-1,1,13.872574,212.862519,1982,58522.69555,189.40873,227.7168406,132.2323419,96.34419531,3540.037334,1514.639102,1530,1312,1530,877,877,877,877,54.86886887,57,35,65,173.861479,156.9805,63.117,303.969
