exp,input_size,reps,uuid,cabinet,node,ts,kern,kern_min_start,kern_max_start,num_kerns,perf,freq,memfreq,temp,pwr,dev_id
sgemm,25536,100,GPU-480de44c-64b5-0da1-df9d-d6d4ff57b684,c007,8,1593120783,volta_sgemm_128x32_sliced1x4_nn,290.219229,534.755601,100,2470.261796,1342,877,66,297.378,0
sgemm,25536,100,GPU-6cc3ac5f-0d73-c0b6-ee4f-4a9e820fb733,c006,2,1593331046,volta_sgemm_128x32_sliced1x4_nn,291.282332,532.195337,100,2433.747622,1357,877,73,298.06,0
sgemm,25536,100,GPU-7613fe78-cca7-81bd-13e8-dc4926a25bae,c009,12,1593357860,volta_sgemm_128x32_sliced1x4_nn,290.742369,532.777172,100,2444.674449,1357,877,53,296.697,0
sgemm,25536,100,GPU-b3fc3d38-01eb-05b0-aae0-8745654d3761,c005,6,1593331631,volta_sgemm_128x32_sliced1x4_nn,318.637919,564.21737,100,2481.182112,1335,877,75,297.182,0
sgemm,25536,100,GPU-eb58f9b0-f8e1-abcf-caa1-bb0ace2fe3a3,c009,10,1593503360,volta_sgemm_128x32_sliced1x4_nn,290.1566,533.265754,100,2455.859286,1357,877,64,296.501,0
sgemm,25536,100,GPU-45140140-249a-2e03-14b3-4d2f64f09570,c009,7,1593415063,volta_sgemm_128x32_sliced1x4_nn,290.498812,532.500396,100,2444.777031,1357,877,71,296.501,0
sgemm,25536,100,GPU-e9f00ee0-61d4-9c3b-ec68-a31bc5c16b66,c003,8,1593129370,volta_sgemm_128x32_sliced1x4_nn,289.997034,529.16043,100,2416.12448,1372,877,68,298.273,0
sgemm,25536,100,GPU-5bef6edb-1abb-8f9c-b381-8025163b6743,c009,11,1593340057,volta_sgemm_128x32_sliced1x4_nn,290.798337,530.032999,100,2416.585408,1372,877,58,297.955,0
sgemm,25536,100,GPU-3a24bed5-f40b-0330-325c-b202c5d8f84e,c009,11,1593411161,volta_sgemm_128x32_sliced1x4_nn,290.248408,530.545279,100,2427.802347,1357,877,69,297.274,0
sgemm,25536,100,GPU-8bd5126e-0bf7-b353-7f26-e20aaa0af1a4,c008,11,1593122182,volta_sgemm_128x32_sliced1x4_nn,290.544798,549.694905,100,2620.12651,1260,877,82,251.094,0
sgemm,25536,100,GPU-eb58f9b0-f8e1-abcf-caa1-bb0ace2fe3a3,c009,10,1592593174,volta_sgemm_128x32_sliced1x4_nn,290.649483,534.333596,100,2461.894367,1342,877,66,296.986,0
sgemm,25536,100,GPU-1e2ee471-fb46-a0a3-b387-28e8c26be3f5,c009,10,1592067329,volta_sgemm_128x32_sliced1x4_nn,290.305285,535.204918,100,2474.077071,1342,877,66,295.728,0
sgemm,25536,100,GPU-04235f8f-fa10-59dd-9f6a-41c1a14f654c,c005,10,1593330520,volta_sgemm_128x32_sliced1x4_nn,296.328762,530.554798,100,2365.880541,1402,877,58,295.821,0
sgemm,25536,100,GPU-4a59516f-c8c3-a9d4-e7db-bf01dcf2e39f,c009,8,1593343481,volta_sgemm_128x32_sliced1x4_nn,290.429048,531.567528,100,2435.965561,1365,877,73,297.47,0
sgemm,25536,100,GPU-cc59c2fd-05c3-6efa-e273-7a3a8a1b4147,c007,11,1593128291,volta_sgemm_128x32_sliced1x4_nn,290.116571,529.166327,100,2414.883133,1372,877,66,296.79,0
sgemm,25536,100,GPU-875d6a05-397c-8b29-9e9e-4087c65b2cb3,c005,6,1593331060,volta_sgemm_128x32_sliced1x4_nn,291.087965,529.399647,100,2407.522582,1380,877,64,296.212,0
sgemm,25536,100,GPU-5e58c293-cd93-66ea-3997-1f57886b0f34,c009,9,1592071317,volta_sgemm_128x32_sliced1x4_nn,290.231224,531.066038,100,2432.676296,1365,877,58,297.47,0
sgemm,25536,100,GPU-0c3515a1-e0b2-895e-d532-bcbf3bab2ff7,c004,7,1593144401,volta_sgemm_128x32_sliced1x4_nn,290.449413,533.922623,100,2459.862612,1350,877,71,298.06,0
