cabinet,device,model,node,perf_avg,perf,run,uuid
c198,2,pagerank,31,1292141.091,2586866464,0,GPU-6c0e2422-aca2-235c-1470-aad46cb02148
c197,3,pagerank,101,1292630.106,2587845472,0,GPU-9aa7e618-e7af-2781-3e37-392aa3999d08
c196,3,pagerank,61,1293632.671,2589852608,4,GPU-978d8076-7a5d-09c7-45b9-3359da7b9ce9
c196,0,pagerank,62,1291674.789,2585932928,0,GPU-b5bfd8f4-1af1-1d42-7e61-4418fb73e9b5
c199,0,pagerank,121,1291409.806,2585402432,3,GPU-911fdcc6-b507-28e7-2529-7ce2ee4b7e70
c198,1,pagerank,21,1293386.262,2589359296,0,GPU-5586ec8e-9972-13cd-a4c1-dda2ad989dfc
c197,1,pagerank,31,1291789.698,2586162976,1,GPU-8ccafb11-6944-f86c-f851-d82be1e7cc71
c196,0,pagerank,102,1291710.657,2586004736,2,GPU-b11d2b95-f951-0140-409e-20aef552a185
c199,2,pagerank,62,1291403.844,2585390496,3,GPU-ac0ae492-caa6-f1b7-7df4-b355b8117482
c198,2,pagerank,21,1293615.041,2589817312,0,GPU-22cb1830-11a6-1772-8d18-2b27cd236c8f
c196,3,pagerank,61,1292494.657,2587574304,1,GPU-978d8076-7a5d-09c7-45b9-3359da7b9ce9
c197,3,pagerank,51,1290584.647,2583750464,1,GPU-7d54391f-8197-2f8f-759c-bf8e22af7edd
c198,0,pagerank,101,1292243.469,2587071424,1,GPU-33c24d68-8734-d4da-c775-4a201cad9aa5
c196,1,pagerank,102,1291795.101,2586173792,3,GPU-8cf8b7e3-1dbb-79cc-ff49-06458b355977
