,exp,reps,cabinet,node,device,train_time,mean_iter_dur,perf,max_iter_dur,min_iter_dur,uuid
176,bert,3,c197,72,0,0,0.178757476,0.178903118,3.248360012,0.170680453,GPU-f57e8247-4e51-787e-d125-1b16a8cf4582
177,bert,3,c197,72,1,0,0.179189394,0.179231028,3.244807411,0.172656002,GPU-52f8161b-43d3-827b-2684-80b609bc8ec6
178,bert,3,c197,72,2,0,0.178970576,0.178974221,3.258061528,0.175949836,GPU-06212af4-9a15-8518-a41e-b0cee5abb6ef
179,bert,3,c197,72,3,0,0.178719332,0.178735546,3.246450316,0.175189947,GPU-e710280b-c0c7-7ec2-a0f1-3573e14baf9e
180,bert,2,c198,11,0,0,0.179768437,0.179707776,3.334061391,0.176350318,GPU-d7ac42ec-7a2f-0825-2342-6bfb922bbe73
181,bert,2,c198,11,1,0,0.178583223,0.178529256,3.34912055,0.17580316,GPU-6441c9c9-cf6d-bfe5-c22a-1fa82bb9a570
182,bert,2,c198,11,2,0,0.179425215,0.179407542,3.32496916,0.176601169,GPU-7e677ba2-1ee2-9114-9a7b-d423ab18b1ec
183,bert,2,c198,11,3,0,0.178245354,0.17830304,3.360112604,0.173298524,GPU-32b8b53e-8383-d504-fc12-6ebee2587f4e
184,bert,2,c197,82,0,0,0.179508351,0.179428708,3.276235936,0.177119487,GPU-352c6a6a-c453-870b-ed58-f85419f4ed96
185,bert,2,c197,82,1,0,0.178318764,0.178313926,3.251331259,0.174914511,GPU-80a9eb22-f191-0258-0928-1e6e2f68e25f
186,bert,2,c197,82,2,0,0.178592462,0.178488117,3.213135882,0.175666614,GPU-a1b245cd-418c-e668-f727-832c29d8c35e
187,bert,2,c197,82,3,0,0.178105789,0.178067941,3.260671147,0.175831994,GPU-c670953f-2c4d-e864-d621-a7e832aa6e89
188,bert,2,c199,52,0,0,0.179251605,0.179300327,3.301663512,0.176313612,GPU-9cfd3bc9-ec4c-cce3-8d2a-f00dadc39c15
189,bert,2,c199,52,1,0,0.178896041,0.178895802,3.321800585,0.174076354,GPU-c02a58d6-397f-fa2d-9d52-e21f20e5f877
